Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.15;29.2;34.64;28.11
2;192.1;-0.15;29.2;34.2;28.01
3;192.2;-0.14;29.2;34.0;27.96
4;192.3;-0.13;29.19;33.88;27.92
5;192.4;-0.13;29.19;33.79;27.9
6;192.5;-0.12;29.19;33.73;27.88
7;192.6;-0.12;29.18;33.68;27.86
8;192.7;-0.11;29.18;33.63;27.85
9;192.8;-0.11;29.19;33.6;27.85
10;192.9;-0.11;29.19;33.57;27.84
11;193.0;-0.1;29.18;33.55;27.82
12;193.1;-0.1;29.17;33.52;27.81
13;193.2;-0.1;29.18;33.51;27.82
14;193.3;-0.09;29.16;33.49;27.79
15;193.4;-0.09;29.17;33.48;27.8
16;193.5;-0.08;29.14;33.47;27.78
17;193.6;-0.07;29.15;33.46;27.78
18;193.7;-0.07;29.15;33.46;27.78
19;193.8;-0.06;29.14;33.45;27.77
20;193.9;-0.06;29.15;33.45;27.78
21;194.0;-0.05;29.15;33.45;27.78
22;194.1;-0.05;29.14;33.45;27.77
23;194.2;-0.04;29.14;33.46;27.77
24;194.3;-0.04;29.13;33.46;27.77
25;194.4;-0.03;29.12;33.47;27.76
26;194.5;-0.03;29.13;33.48;27.77
27;194.6;-0.03;29.12;33.49;27.77
28;194.7;-0.02;29.11;33.51;27.76
29;194.8;-0.02;29.1;33.52;27.76
30;194.9;-0.0;29.08;33.55;27.75
31;195.0;0.01;29.07;33.57;27.75
32;195.1;0.02;29.06;33.6;27.75
33;195.2;0.05;29.08;33.63;27.77
34;195.3;0.07;29.08;33.68;27.79
35;195.4;0.1;29.09;33.73;27.8
36;195.5;0.12;29.11;33.79;27.84
37;195.6;0.14;29.1;33.88;27.85
38;195.7;0.16;29.11;34.0;27.89
39;195.8;0.17;29.13;34.2;27.96
40;195.9;0.18;29.14;34.64;28.06
